clone_a,clone_b,batch,n_a,n_b,sinkhorn,energy
E7.5-R1-C2,E7.5-R2-C1,13,182,757,43.918235778808594,2.7437233924865723
E7.5-R1-C2,E7.5-R2-C1,14,182,757,40.525794982910156,2.1456804275512695
E7.5-R1-C2,E7.5-R2-C1,15,182,757,18.299036026000977,1.1639323234558105
E7.5-R1-C2,E7.5-R2-C1,16,182,757,30.31298065185547,1.8628473281860352
E7.5-R1-C2,E7.5-R2-C1,17,182,757,28.938873291015625,1.68629789352417
E7.5-R1-C2,E7.5-R2-C1,18,182,757,28.770498275756836,1.6126060485839844
E7.5-R1-C2,E7.5-R2-C1,19,182,757,32.21770477294922,2.221284866333008
E7.5-R1-C2,E7.5-R2-C1,20,182,757,27.144088745117188,1.2034130096435547
E7.5-R1-C2,E7.5-R2-C1,21,182,757,49.32674789428711,2.0909767150878906
E7.5-R1-C2,E7.5-R2-C1,22,182,757,29.019489288330078,1.5945653915405273
E7.5-R1-C2,E7.5-R2-C1,23,182,757,19.32464599609375,1.1358799934387207
E7.5-R1-C2,E7.5-R2-C1,24,182,757,42.15851593017578,2.4344072341918945
E7.5-R1-C2,E7.5-R2-C1,25,182,757,36.14569854736328,2.6855506896972656
E7.5-R1-C2,E7.5-R2-C1,26,182,757,35.31688690185547,1.7270722389221191
E7.5-R1-C2,E7.5-R2-C1,27,182,757,28.668949127197266,1.2547540664672852
E7.5-R1-C2,E7.5-R2-C1,28,182,757,38.2079963684082,1.5212011337280273
E7.5-R1-C2,E7.5-R2-C1,29,182,757,29.67387580871582,1.9295177459716797
E7.5-R1-C2,E7.5-R2-C1,30,182,757,25.462146759033203,1.3826789855957031
E7.5-R1-C2,E7.5-R2-C1,31,182,757,29.070980072021484,1.633033275604248
E7.5-R1-C2,E7.5-R2-C1,32,182,757,27.10638427734375,1.420914649963379
E7.5-R1-C2,E7.5-R2-C1,33,182,757,39.981048583984375,3.310251235961914
E7.5-R1-C2,E7.5-R2-C1,34,182,757,27.018592834472656,1.4879984855651855
E7.5-R1-C2,E7.5-R2-C1,35,182,757,27.347000122070312,1.3928804397583008
E7.5-R1-C2,E7.5-R2-C1,36,182,757,33.344146728515625,2.4642839431762695
E7.5-R1-C2,E7.5-R2-C1,37,182,757,26.734132766723633,1.3501834869384766
E7.5-R1-C2,E7.5-R2-C1,38,182,757,30.512126922607422,1.875314712524414
E7.5-R1-C2,E7.5-R2-C1,39,182,757,41.03369903564453,1.9051342010498047
E7.5-R1-C2,E7.5-R2-C1,40,182,757,23.393095016479492,1.7316527366638184
E7.5-R1-C2,E7.5-R2-C1,41,182,757,36.892250061035156,2.520369052886963
E7.5-R1-C2,E7.5-R2-C1,42,182,757,24.410913467407227,1.4606151580810547
E7.5-R1-C2,E7.5-R2-C1,43,182,757,36.50603103637695,1.5210723876953125
